Fecha,Dólar BNA
3/5/2002,1.9917
3/6/2002,2.0508
3/7/2002,2.1375
3/8/2002,2.2033
3/9/2002,2.2033
3/10/2002,2.2033
3/11/2002,2.2525
3/12/2002,2.365
3/13/2002,2.3317
3/14/2002,2.365
3/15/2002,2.3408
3/16/2002,2.3408
3/17/2002,2.3408
3/18/2002,2.3175
3/19/2002,2.3783
3/20/2002,2.432
3/21/2002,2.3883
3/22/2002,2.5683
3/23/2002,2.5683
3/24/2002,2.5683
3/25/2002,3.205
3/26/2002,2.9917
3/27/2002,2.8517
3/28/2002,2.8517
3/29/2002,2.8517
3/30/2002,2.8517
3/31/2002,2.8517
4/1/2002,2.8517
4/2/2002,2.8875
4/3/2002,2.9033
4/4/2002,2.8
4/5/2002,2.6733
4/6/2002,2.6733
4/7/2002,2.6733
4/8/2002,2.7042
4/9/2002,2.7467
4/10/2002,2.7708
4/11/2002,2.7883
4/12/2002,2.8592
4/13/2002,2.8592
4/14/2002,2.8592
4/15/2002,2.9233
4/16/2002,2.8533
4/17/2002,2.805
4/18/2002,2.9117
4/19/2002,3.1167
4/20/2002,3.1167
4/21/2002,3.1167
4/22/2002,3.1167
4/23/2002,3.1167
4/24/2002,3.1167
4/25/2002,3.1167
4/26/2002,3.1167
4/27/2002,3.1167
4/28/2002,3.1167
4/29/2002,3.0217
4/30/2002,2.9167
5/1/2002,2.9167
5/2/2002,3.0358
5/3/2002,3.16
5/4/2002,3.16
5/5/2002,3.16
5/6/2002,3.1633
5/7/2002,3.1717
5/8/2002,3.1863
5/9/2002,3.18
5/10/2002,3.1767
5/11/2002,3.1767
5/12/2002,3.1767
5/13/2002,3.2667
5/14/2002,3.2557
5/15/2002,3.225
5/16/2002,3.2228
5/17/2002,3.33
5/18/2002,3.33
5/19/2002,3.33
5/20/2002,3.5167
5/21/2002,3.4933
5/22/2002,3.4208
5/23/2002,3.3883
5/24/2002,3.4283
5/25/2002,3.4283
5/26/2002,3.4283
5/27/2002,3.4483
5/28/2002,3.4517
5/29/2002,3.5433
5/30/2002,3.5917
5/31/2002,3.575
6/1/2002,3.575
6/2/2002,3.575
6/3/2002,3.5942
6/4/2002,3.6083
6/5/2002,3.6267
6/6/2002,3.6367
6/7/2002,3.63
6/8/2002,3.63
6/9/2002,3.63
6/10/2002,3.5325
6/11/2002,3.4558
6/12/2002,3.445
6/13/2002,3.4717
6/14/2002,3.5043
6/15/2002,3.5043
6/16/2002,3.5043
6/17/2002,3.5043
6/18/2002,3.5078
6/19/2002,3.5362
6/20/2002,3.5833
6/21/2002,3.636
6/22/2002,3.636
6/23/2002,3.636
6/24/2002,3.7058
6/25/2002,3.85
6/26/2002,3.8675
6/27/2002,3.8092
6/28/2002,3.8037
6/29/2002,3.8037
6/30/2002,3.8037
7/1/2002,3.7912
7/2/2002,3.69
7/3/2002,3.5767
7/4/2002,3.5558
7/5/2002,3.5667
7/6/2002,3.5667
7/7/2002,3.5667
7/8/2002,3.5317
7/9/2002,3.5317
7/10/2002,3.5303
7/11/2002,3.555
7/12/2002,3.5875
7/13/2002,3.5875
7/14/2002,3.5875
7/15/2002,3.5933
7/16/2002,3.5907
7/17/2002,3.4967
7/18/2002,3.5417
7/19/2002,3.5845
7/20/2002,3.5845
7/21/2002,3.5845
7/22/2002,3.5978
7/23/2002,3.6383
7/24/2002,3.645
7/25/2002,3.6267
7/26/2002,3.6558
7/27/2002,3.6558
