Fecha,UVA
3/31/2016,14.05
4/1/2016,14.05
4/2/2016,14.06
4/3/2016,14.06
4/4/2016,14.06
4/5/2016,14.1
4/6/2016,14.11
4/7/2016,14.12
4/8/2016,14.14
4/9/2016,14.15
4/10/2016,14.15
4/11/2016,14.15
4/12/2016,14.18
4/13/2016,14.2
4/14/2016,14.21
4/15/2016,14.22
4/16/2016,14.23
4/17/2016,14.23
4/18/2016,14.23
4/19/2016,14.27
4/20/2016,14.28
4/21/2016,14.29
4/22/2016,14.31
4/23/2016,14.32
4/24/2016,14.32
4/25/2016,14.32
4/26/2016,14.36
4/27/2016,14.37
4/28/2016,14.38
4/29/2016,14.4
4/30/2016,14.41
5/1/2016,14.41
5/2/2016,14.41
5/3/2016,14.46
5/4/2016,14.47
5/5/2016,14.48
5/6/2016,14.5
5/7/2016,14.51
5/8/2016,14.51
5/9/2016,14.51
5/10/2016,14.55
5/11/2016,14.57
5/12/2016,14.58
5/13/2016,14.6
5/14/2016,14.61
5/15/2016,14.61
5/16/2016,14.61
5/17/2016,14.65
5/18/2016,14.67
5/19/2016,14.68
5/20/2016,14.7
5/21/2016,14.71
5/22/2016,14.71
5/23/2016,14.71
5/24/2016,14.75
5/25/2016,14.77
5/26/2016,14.77
5/27/2016,14.8
5/28/2016,14.82
5/29/2016,14.82
5/30/2016,14.82
5/31/2016,14.86
6/1/2016,14.88
6/2/2016,14.9
6/3/2016,14.91
6/4/2016,14.93
6/5/2016,14.93
6/6/2016,14.93
6/7/2016,14.98
6/8/2016,14.99
6/9/2016,15.01
6/10/2016,15.02
6/11/2016,15.04
6/12/2016,15.04
6/13/2016,15.04
6/14/2016,15.09
6/15/2016,15.11
6/16/2016,15.12
6/17/2016,15.14
6/18/2016,15.14
6/19/2016,15.14
6/20/2016,15.14
6/21/2016,15.14
6/22/2016,15.22
6/23/2016,15.24
6/24/2016,15.25
6/25/2016,15.27
6/26/2016,15.27
6/27/2016,15.27
6/28/2016,15.33
6/29/2016,15.35
6/30/2016,15.37
7/1/2016,15.39
7/2/2016,15.41
7/3/2016,15.41
7/4/2016,15.41
7/5/2016,15.48
7/6/2016,15.5
7/7/2016,15.52
7/8/2016,15.54
7/9/2016,15.54
7/10/2016,15.54
7/11/2016,15.54
7/12/2016,15.62
7/13/2016,15.65
7/14/2016,15.67
7/15/2016,15.69
7/16/2016,15.71
7/17/2016,15.71
7/18/2016,15.71
7/19/2016,15.76
7/20/2016,15.77
7/21/2016,15.79
7/22/2016,15.8
7/23/2016,15.82
7/24/2016,15.82
7/25/2016,15.82
7/26/2016,15.86
7/27/2016,15.88
7/28/2016,15.9
7/29/2016,15.91
7/30/2016,15.93
7/31/2016,15.93
8/1/2016,15.93
8/2/2016,15.97
8/3/2016,15.99
8/4/2016,16
8/5/2016,16.02
8/6/2016,16.04
8/7/2016,16.04
8/8/2016,16.04
8/9/2016,16.08
8/10/2016,16.1
8/11/2016,16.11
8/12/2016,16.13
8/13/2016,16.15
8/14/2016,16.15
8/15/2016,16.15
8/16/2016,16.15
8/17/2016,16.2
8/18/2016,16.21
8/19/2016,16.22
8/20/2016,16.23
8/21/2016,16.23
8/22/2016,16.23
8/23/2016,16.26
8/24/2016,16.27
8/25/2016,16.28
8/26/2016,16.29
8/27/2016,16.3
8/28/2016,16.3
