,Fecha, Dólar Blue 
1529,2003-01-02 00:00:00,"3,37"
764,2003-01-02 00:00:00,"3,37"
763,2003-01-03 00:00:00,"3,34"
1528,2003-01-03 00:00:00,"3,34"
762,2003-01-06 00:00:00,"3,33"
1527,2003-01-06 00:00:00,"3,33"
761,2003-01-07 00:00:00,"3,27"
1526,2003-01-07 00:00:00,"3,27"
760,2003-01-08 00:00:00,"3,31"
1525,2003-01-08 00:00:00,"3,31"
759,2003-01-09 00:00:00,"3,34"
1524,2003-01-09 00:00:00,"3,34"
1523,2003-01-10 00:00:00,"3,38"
758,2003-01-10 00:00:00,"3,38"
1522,2003-01-13 00:00:00,"3,33"
757,2003-01-13 00:00:00,"3,33"
1521,2003-01-14 00:00:00,"3,29"
756,2003-01-14 00:00:00,"3,29"
1520,2003-01-15 00:00:00,"3,26"
755,2003-01-15 00:00:00,"3,26"
754,2003-01-16 00:00:00,"3,27"
1519,2003-01-16 00:00:00,"3,27"
753,2003-01-17 00:00:00,"3,25"
1518,2003-01-17 00:00:00,"3,25"
1517,2003-01-20 00:00:00,"3,19"
752,2003-01-20 00:00:00,"3,19"
1516,2003-01-21 00:00:00,"3,10"
751,2003-01-21 00:00:00,"3,10"
750,2003-01-22 00:00:00,"3,15"
1515,2003-01-22 00:00:00,"3,15"
749,2003-01-23 00:00:00,"3,16"
1514,2003-01-23 00:00:00,"3,16"
748,2003-01-24 00:00:00,"3,25"
1513,2003-01-24 00:00:00,"3,25"
747,2003-01-27 00:00:00,"3,33"
1512,2003-01-27 00:00:00,"3,33"
746,2003-01-28 00:00:00,"3,33"
1511,2003-01-28 00:00:00,"3,33"
745,2003-01-29 00:00:00,"3,31"
1510,2003-01-29 00:00:00,"3,31"
744,2003-01-30 00:00:00,"3,27"
1509,2003-01-30 00:00:00,"3,27"
743,2003-01-31 00:00:00,"3,23"
1508,2003-01-31 00:00:00,"3,23"
742,2003-02-03 00:00:00,"3,21"
1507,2003-02-03 00:00:00,"3,21"
741,2003-02-04 00:00:00,"3,17"
1506,2003-02-04 00:00:00,"3,17"
740,2003-02-05 00:00:00,"3,17"
1505,2003-02-05 00:00:00,"3,17"
1504,2003-02-06 00:00:00,"3,17"
739,2003-02-06 00:00:00,"3,17"
738,2003-02-07 00:00:00,"3,17"
1503,2003-02-07 00:00:00,"3,17"
1502,2003-02-10 00:00:00,"3,16"
737,2003-02-10 00:00:00,"3,16"
736,2003-02-11 00:00:00,"3,12"
1501,2003-02-11 00:00:00,"3,12"
735,2003-02-12 00:00:00,"3,12"
1500,2003-02-12 00:00:00,"3,12"
1499,2003-02-13 00:00:00,"3,16"
734,2003-02-13 00:00:00,"3,16"
1498,2003-02-14 00:00:00,"3,17"
733,2003-02-14 00:00:00,"3,17"
1497,2003-02-17 00:00:00,"3,15"
732,2003-02-17 00:00:00,"3,15"
1496,2003-02-18 00:00:00,"3,20"
731,2003-02-18 00:00:00,"3,20"
730,2003-02-19 00:00:00,"3,21"
1495,2003-02-19 00:00:00,"3,21"
1494,2003-02-20 00:00:00,"3,23"
729,2003-02-20 00:00:00,"3,23"
1493,2003-02-21 00:00:00,"3,20"
728,2003-02-21 00:00:00,"3,20"
1492,2003-02-24 00:00:00,"3,17"
727,2003-02-24 00:00:00,"3,17"
1491,2003-02-25 00:00:00,"3,16"
726,2003-02-25 00:00:00,"3,16"
725,2003-02-26 00:00:00,"3,17"
1490,2003-02-26 00:00:00,"3,17"
