fecha,dolar bna,dolar divisa bna,dolar ambito,dolar blue,icl,rem,uva
2003-02-01, 3.36 , 3.35 , 3.38 ,2.79,,,
2003-03-01, 3.33 , 3.34 , 3.36 ,2.79,,,
2003-06-01, 3.33 , 3.33 , 3.35 ,2.79,,,
2003-07-01, 3.29 , 3.28 , 3.30 ,2.79,,,
2003-07-01, 3.29 , 3.28 , 3.30 ,2.79,,,
2003-08-01, 3.29 , 3.30 , 3.32 ,2.94,,,
2003-08-01, 3.29 , 3.30 , 3.32 ,2.94,,,
2003-10-01, 3.35 , 3.35 , 3.39 ,2.91,,,
2003-10-01, 3.35 , 3.35 , 3.39 ,2.91,,,
2003-01-13, 3.35 , 3.33 , 3.37 ,3.33,,,
2003-01-13, 3.35 , 3.33 , 3.37 ,3.33,,,
2003-01-14, 3.30 , 3.25 , 3.31 ,3.29,,,
2003-01-14, 3.30 , 3.25 , 3.31 ,3.29,,,
2003-01-15, 3.23 , 3.23 , 3.26 ,3.26,,,
2003-01-15, 3.23 , 3.23 , 3.26 ,3.26,,,
2003-01-16, 3.24 , 3.26 , 3.29 ,3.27,,,
2003-01-16, 3.24 , 3.26 , 3.29 ,3.27,,,
2003-01-17, 3.24 , 3.22 , 3.27 ,3.25,,,
2003-01-17, 3.24 , 3.22 , 3.27 ,3.25,,,
2003-01-20, 3.19 , 3.19 , 3.21 ,3.19,,,
2003-01-20, 3.19 , 3.19 , 3.21 ,3.19,,,
2003-01-21, 3.13 , 3.10 , 3.14 ,3.10,,,
2003-01-21, 3.13 , 3.10 , 3.14 ,3.10,,,
2003-01-22, 3.06 , 3.11 , 3.14 ,3.15,,,
2003-01-22, 3.06 , 3.11 , 3.14 ,3.15,,,
2003-01-23, 3.12 , 3.14 , 3.18 ,3.16,,,
2003-01-23, 3.12 , 3.14 , 3.18 ,3.16,,,
2003-01-24, 3.17 , 3.22 , 3.24 ,3.25,,,
2003-01-24, 3.17 , 3.22 , 3.24 ,3.25,,,
2003-01-27, 3.26 , 3.32 , 3.34 ,3.33,,,
2003-01-27, 3.26 , 3.32 , 3.34 ,3.33,,,
2003-01-28, 3.34 , 3.32 , 3.35 ,3.33,,,
2003-01-28, 3.34 , 3.32 , 3.35 ,3.33,,,
2003-01-29, 3.34 , 3.31 , 3.34 ,3.31,,,
2003-01-29, 3.34 , 3.31 , 3.34 ,3.31,,,
2003-01-30, 3.24 , 3.25 , 3.28 ,3.27,,,
2003-01-30, 3.24 , 3.25 , 3.28 ,3.27,,,
2003-01-31, 3.18 , 3.21 , 3.23 ,3.23,,,
2003-01-31, 3.18 , 3.21 , 3.23 ,3.23,,,
2003-03-02, 3.20 , 3.18 , 3.23 ,2.92,,,
2003-04-02, 3.16 , 3.17 , 3.19 ,2.92,,,
2003-04-02, 3.16 , 3.17 , 3.19 ,2.92,,,
2003-05-02, 3.15 , 3.16 , 3.19 ,2.79,,,
2003-05-02, 3.15 , 3.16 , 3.19 ,2.79,,,
2003-06-02, 3.15 , 3.15 , 3.18 ,2.84,,,
2003-06-02, 3.15 , 3.15 , 3.18 ,2.84,,,
2003-07-02, 3.15 , 3.15 , 3.19 ,2.79,,,
2003-07-02, 3.15 , 3.15 , 3.19 ,2.79,,,
2003-10-02, 3.15 , 3.13 , 3.17 ,2.90,,,
2003-10-02, 3.15 , 3.13 , 3.17 ,2.90,,,
2003-11-02, 3.10 , 3.11 , 3.14 ,2.96,,,
2003-12-02, 3.08 , 3.11 , 3.13 ,2.96,,,
2003-12-02, 3.08 , 3.11 , 3.13 ,2.96,,,
2003-02-13, 3.12 , 3.14 , 3.16 ,3.16,,,
2003-02-13, 3.12 , 3.14 , 3.16 ,3.16,,,
2003-02-14, 3.19 , 3.18 , 3.22 ,3.17,,,
2003-02-14, 3.19 , 3.18 , 3.22 ,3.17,,,
2003-02-17, 3.16 , 3.16 , 3.19 ,3.15,,,
2003-02-17, 3.16 , 3.16 , 3.19 ,3.15,,,
2003-02-18, 3.16 , 3.17 , 3.19 ,3.20,,,
2003-02-18, 3.16 , 3.17 , 3.19 ,3.20,,,
2003-02-19, 3.18 , 3.19 , 3.22 ,3.21,,,
2003-02-19, 3.18 , 3.19 , 3.22 ,3.21,,,
2003-02-20, 3.23 , 3.21 , 3.25 ,3.23,,,
2003-02-20, 3.23 , 3.21 , 3.25 ,3.23,,,
2003-02-24, 3.18 , 3.17 , 3.20 ,3.17,,,
2003-02-24, 3.18 , 3.17 , 3.20 ,3.17,,,
2003-02-25, 3.15 , 3.16 , 3.19 ,3.16,,,
2003-02-25, 3.15 , 3.16 , 3.19 ,3.16,,,
2003-02-26, 3.16 , 3.17 , 3.20 ,3.17,,,
2003-02-26, 3.16 , 3.17 , 3.20 ,3.17,,,
2003-02-27, 3.18 , 3.19 , 3.22 ,3.21,,,
2003-02-27, 3.18 , 3.19 , 3.22 ,3.21,,,
2003-02-28, 3.20 , 3.19 , 3.22 ,3.20,,,
2003-02-28, 3.20 , 3.19 , 3.22 ,3.20,,,
2003-03-03, 3.22 , 3.21 , 3.24 ,3.21,,,
